Config 1/10: hidden=256, lr=0.001, wd=0.0001, batch=32
Epoch 09 | train loss 0.0846, acc 96.64% | val loss 0.1784, acc 93.39%, F1 0.9406
Epoch 10 | train loss 0.0711, acc 97.35% | val loss 0.1662, acc 93.94%, F1 0.9456
Epoch 11 | train loss 0.0738, acc 97.32% | val loss 0.1862, acc 93.21%, F1 0.9392
Epoch 12 | train loss 0.0689, acc 97.39% | val loss 0.2597, acc 91.42%, F1 0.9273
Epoch 13 | train loss 0.0814, acc 96.87% | val loss 0.1909, acc 93.44%, F1 0.9410
Epoch 14 | train loss 0.0650, acc 97.76% | val loss 0.1803, acc 94.13%, F1 0.9474
Epoch 15 | train loss 0.0532, acc 97.89% | val loss 0.2029, acc 93.39%, F1 0.9406
Epoch 16 | train loss 0.0465, acc 98.35% | val loss 0.1631, acc 94.82%, F1 0.9543
Epoch 17 | train loss 0.0325, acc 99.11% | val loss 0.1633, acc 94.36%, F1 0.9504
Epoch 18 | train loss 0.0270, acc 99.22% | val loss 0.2616, acc 91.83%, F1 0.9311
Epoch 19 | train loss 0.0448, acc 98.39% | val loss 0.2006, acc 93.90%, F1 0.9465
Epoch 20 | train loss 0.0339, acc 99.01% | val loss 0.2237, acc 93.67%, F1 0.9444
Epoch 21 | train loss 0.0528, acc 98.18% | val loss 0.1962, acc 93.99%, F1 0.9462
Epoch 22 | train loss 0.0408, acc 98.60% | val loss 0.2045, acc 93.81%, F1 0.9461
Epoch 23 | train loss 0.0471, acc 98.36% | val loss 0.2855, acc 92.25%, F1 0.9318
Epoch 24 | train loss 0.0371, acc 98.77% | val loss 0.1925, acc 94.40%, F1 0.9516
Epoch 25 | train loss 0.0295, acc 99.19% | val loss 0.1901, acc 94.86%, F1 0.9544
Epoch 26 | train loss 0.0206, acc 99.43% | val loss 0.1899, acc 94.82%, F1 0.9539
Epoch 27 | train loss 0.0238, acc 99.24% | val loss 0.1709, acc 94.77%, F1 0.9542
Epoch 28 | train loss 0.0207, acc 99.46% | val loss 0.2082, acc 94.22%, F1 0.9487
Epoch 29 | train loss 0.0428, acc 98.58% | val loss 0.2449, acc 93.53%, F1 0.9426
Epoch 30 | train loss 0.0287, acc 99.21% | val loss 0.1843, acc 94.54%, F1 0.9521
Validation F1 for this config: 0.9544

############################################################
Config 6/10: hidden=128, lr=0.001, wd=0.0001, batch=32

Training with: hidden=128, lr=0.001, wd=0.0001, batch=32
Epoch 01 | train loss 0.4542, acc 79.41% | val loss 0.3080, acc 86.74%, F1 0.8755
Epoch 02 | train loss 0.2609, acc 89.05% | val loss 0.3454, acc 85.41%, F1 0.8584
Epoch 03 | train loss 0.2256, acc 90.52% | val loss 0.2714, acc 89.27%, F1 0.9076
Epoch 04 | train loss 0.1978, acc 91.68% | val loss 0.2270, acc 90.87%, F1 0.9173
Epoch 05 | train loss 0.1756, acc 92.81% | val loss 0.2313, acc 90.23%, F1 0.9088
Epoch 06 | train loss 0.1595, acc 93.53% | val loss 0.2186, acc 91.65%, F1 0.9249
Epoch 07 | train loss 0.1619, acc 93.44% | val loss 0.2913, acc 89.68%, F1 0.9056
Epoch 08 | train loss 0.1442, acc 94.28% | val loss 0.2123, acc 91.56%, F1 0.9250
Epoch 09 | train loss 0.1438, acc 94.11% | val loss 0.2465, acc 91.19%, F1 0.9224
Epoch 10 | train loss 0.1230, acc 95.10% | val loss 0.2088, acc 92.29%, F1 0.9300
Epoch 11 | train loss 0.1092, acc 95.76% | val loss 0.2129, acc 92.20%, F1 0.9301
Epoch 12 | train loss 0.0981, acc 96.16% | val loss 0.2310, acc 91.47%, F1 0.9243
Epoch 13 | train loss 0.1027, acc 95.94% | val loss 0.2132, acc 92.71%, F1 0.9354
Epoch 14 | train loss 0.1148, acc 95.63% | val loss 0.2318, acc 92.29%, F1 0.9308
Epoch 15 | train loss 0.1001, acc 95.93% | val loss 0.2140, acc 92.94%, F1 0.9390
Epoch 16 | train loss 0.1067, acc 95.71% | val loss 0.2105, acc 92.57%, F1 0.9347
Epoch 17 | train loss 0.0837, acc 96.66% | val loss 0.2418, acc 91.65%, F1 0.9253
Epoch 18 | train loss 0.0837, acc 96.64% | val loss 0.2221, acc 93.03%, F1 0.9371
Epoch 19 | train loss 0.0759, acc 97.21% | val loss 0.2556, acc 92.11%, F1 0.9311
Epoch 20 | train loss 0.0941, acc 96.64% | val loss 0.2917, acc 91.28%, F1 0.9254
Epoch 21 | train loss 0.0901, acc 96.74% | val loss 0.2421, acc 92.48%, F1 0.9325
Epoch 22 | train loss 0.0884, acc 96.75% | val loss 0.2418, acc 92.71%, F1 0.9354
Epoch 23 | train loss 0.0761, acc 97.21% | val loss 0.2445, acc 92.98%, F1 0.9364
Epoch 24 | train loss 0.0571, acc 97.87% | val loss 0.2529, acc 92.34%, F1 0.9302
Epoch 25 | train loss 0.0725, acc 97.19% | val loss 0.3393, acc 91.33%, F1 0.9202
Epoch 26 | train loss 0.0947, acc 96.40% | val loss 0.2699, acc 92.06%, F1 0.9297
Epoch 27 | train loss 0.0917, acc 96.61% | val loss 0.2904, acc 91.70%, F1 0.9243
Epoch 28 | train loss 0.0668, acc 97.51% | val loss 0.2272, acc 93.72%, F1 0.9439
Epoch 29 | train loss 0.0534, acc 97.81% | val loss 0.3109, acc 92.43%, F1 0.9319
